Player Hand,Dealer Hand,Action,Player Ace 11,Times Selected,Q Value
13,10,False,STAND,20,-0.9
13,10,False,HIT,18102,-0.10104963747904847
13,7,False,STAND,6,-0.8333333333333334
13,7,False,HIT,4510,0.056848057572992675
19,7,False,STAND,4714,0.6130674586338566
19,7,False,HIT,5,-1.217236328125
15,3,False,STAND,46,-0.43478260869565216
15,3,False,HIT,4212,-0.015687121822600403
14,10,False,STAND,22,-0.5454545454545454
14,10,False,HIT,19240,-0.12050606055964712
17,10,False,STAND,27,-0.6296296296296297
17,10,False,HIT,21017,-0.20667170788125827
17,6,False,STAND,10,-0.5
17,6,False,HIT,3524,-0.0071201860829419525
18,10,False,STAND,21422,-0.245168518345626
18,10,False,HIT,19,-0.45626840922746786
12,8,False,STAND,38,-0.34210526315789475
12,8,False,HIT,4327,0.06000148708010466
12,9,False,STAND,8,-0.5
12,9,False,HIT,4218,0.035308481434191796
15,9,True,STAND,470,-0.5531914893617021
15,9,True,HIT,3,-1.6266717545442448
18,9,True,STAND,509,-0.1787819253438114
18,9,True,HIT,3,-0.7353369199220827
16,9,False,STAND,6,-0.6666666666666666
16,9,False,HIT,3613,-0.025146746904868816
18,9,False,STAND,3770,-0.22042440318302386
18,9,False,HIT,7,-0.597316371307861
20,7,False,STAND,6088,0.7575558475689882
20,7,False,HIT,8,-0.875
19,5,False,STAND,3479,0.4544409313020983
19,5,False,HIT,6,-0.7407407407407408
13,3,False,STAND,3916,-0.23927477017364657
13,3,False,HIT,3,-0.7307288117580049
17,11,False,STAND,4,-1.0
17,11,False,HIT,4722,-0.20957951331667377
12,10,False,STAND,17,-0.47058823529411764
12,10,False,HIT,17722,-0.07824619719155246
17,7,False,STAND,4933,-0.13744171903506994
17,7,False,HIT,7,-0.5192412444469077
14,9,False,STAND,4074,-0.5274914089347079
14,9,False,HIT,4,-0.6180119341360786
16,10,False,STAND,22,-0.7272727272727273
16,10,False,HIT,20149,-0.16864494988829318
13,10,True,STAND,2021,-0.5794161306284018
13,10,True,HIT,4,-1.0932201553768106
13,11,False,STAND,5,-0.8
13,11,False,HIT,4462,-0.07094646933905875
20,10,False,STAND,24705,0.41129326047358833
20,10,False,HIT,21,-0.4425107701085159
15,11,False,STAND,4892,-0.7688062142273099
15,11,False,HIT,5,-1.1448558312165944
16,8,False,STAND,35,-0.5428571428571428
16,8,False,HIT,4820,-0.02043027944028017
15,7,False,STAND,3,-1.0
15,7,False,HIT,4726,0.03284364323985869
13,9,False,STAND,4421,-0.5148156525672924
13,9,False,HIT,3,-1.1309701793368747
20,6,True,STAND,792,0.7272727272727273
20,6,True,HIT,7,-0.0016781819504601639
19,6,False,STAND,3258,0.47391037446286066
19,6,False,HIT,8,-0.14257211750913437
15,10,False,STAND,24,-0.4583333333333333
15,10,False,HIT,20089,-0.14917790508359313
18,4,False,STAND,3626,0.14451185879757308
18,4,False,HIT,6,0.11112000000000004
12,4,False,STAND,5,-1.0
12,4,False,HIT,4194,0.09342429501154727
18,2,False,STAND,3971,0.09443465122135482
18,2,False,HIT,5,-0.9140625
19,3,False,STAND,4035,0.36084262701363073
19,3,False,HIT,4,-0.688
15,2,False,STAND,4586,-0.2823811600523332
15,2,False,HIT,7,-0.47973027824634606
16,2,True,STAND,480,-0.2833333333333333
16,2,True,HIT,2,-1.6666666666666667
15,11,True,STAND,1,-1.0
15,11,True,HIT,395,1.2426212820426603
19,10,False,STAND,19816,-0.006560355268469923
19,10,False,HIT,22,-0.5106184184152979
20,8,False,STAND,6037,0.785158191154547
20,8,False,HIT,8,-1.0
13,4,False,STAND,6,-0.8333333333333334
13,4,False,HIT,4447,0.06746055571231292
18,3,False,STAND,4137,0.11747643219724438
18,3,False,HIT,4,-0.6297234429253472
20,5,False,STAND,4955,0.6490413723511604
20,5,False,HIT,6,-1.0
17,2,True,STAND,2,-0.5
17,2,True,HIT,495,1.0655472802796775
19,11,True,STAND,516,-0.044573643410852716
19,11,True,HIT,2,-2.6939430303345353
